,Countries,date,yield
0,Belgium,2021-10-01,0.16
1,Germany,2021-10-01,-0.21
5,Spain,2021-10-01,0.47
6,France,2021-10-01,0.2
15,Portugal,2021-10-01,0.39
18,Belgium,2021-11-01,0.07
19,Germany,2021-11-01,-0.31
23,Spain,2021-11-01,0.47
24,France,2021-11-01,0.1
33,Portugal,2021-11-01,0.39
36,Belgium,2021-12-01,0.03
37,Germany,2021-12-01,-0.38
41,Spain,2021-12-01,0.41
42,France,2021-12-01,0.05
51,Portugal,2021-12-01,0.36
54,Belgium,2022-01-01,0.26
55,Germany,2022-01-01,-0.12
59,Spain,2022-01-01,0.66
60,France,2022-01-01,0.31
69,Portugal,2022-01-01,0.58
72,Belgium,2022-02-01,0.59
73,Germany,2022-02-01,0.15
77,Spain,2022-02-01,1.11
78,France,2022-02-01,0.68
87,Portugal,2022-02-01,1.06
90,Belgium,2022-03-01,0.79
91,Germany,2022-03-01,0.28
95,Spain,2022-03-01,1.22
96,France,2022-03-01,0.78
105,Portugal,2022-03-01,1.16
108,Belgium,2022-04-01,1.3
109,Germany,2022-04-01,0.75
113,Spain,2022-04-01,1.69
114,France,2022-04-01,1.28
123,Portugal,2022-04-01,1.76
126,Belgium,2022-05-01,1.58
127,Germany,2022-05-01,0.95
131,Spain,2022-05-01,2.04
132,France,2022-05-01,1.52
141,Portugal,2022-05-01,2.14
144,Belgium,2022-06-01,2.13
145,Germany,2022-06-01,1.45
149,Spain,2022-06-01,2.63
150,France,2022-06-01,2.06
159,Portugal,2022-06-01,2.65
162,Belgium,2022-07-01,1.8
163,Germany,2022-07-01,1.08
167,Spain,2022-07-01,2.31
168,France,2022-07-01,1.71
177,Portugal,2022-07-01,2.26
180,Belgium,2022-08-01,1.71
181,Germany,2022-08-01,1.03
185,Spain,2022-08-01,2.15
186,France,2022-08-01,1.69
195,Portugal,2022-08-01,2.16
198,Belgium,2022-09-01,2.45
199,Germany,2022-09-01,1.8
203,Spain,2022-09-01,2.92
204,France,2022-09-01,2.41
213,Portugal,2022-09-01,2.89
216,Belgium,2022-10-01,2.84
217,Germany,2022-10-01,2.19
221,Spain,2022-10-01,3.29
222,France,2022-10-01,2.77
231,Portugal,2022-10-01,3.26
